Job Name	ComaprisonNewOldYoung

Sample
c-1	ms2_HCD_Trap01	TQC03.raw
c-2	ms2_HCD_Trap01	TQC04.raw
c-3	ms2_HCD_Trap01	SQC01.raw
c-4	ms2_HCD_Trap01	TQC02.raw
s1-1	ms2_HCD_Trap01	G113_3.raw
s1-2	ms2_HCD_Trap01	G113_16.raw
s2-1	ms2_HCD_Trap01	G113-4.raw
s2-2	ms2_HCD_Trap01	G113_11.raw
s3-1	ms2_HCD_Trap01	G112_19.raw
s3-2	ms2_HCD_Trap01	G112_12.raw
s4-1	ms2_HCD_Trap01	G112_10.raw
s4-2	ms2_HCD_Trap01	G112_18.raw

Result
LipidMolec	Class	FA	FA Group Key	Counts	Isomer	MSnNum	Calc Mass	Formula	BaseRt	MainIon	Duplication Group	Duplication Rank	ARatio[s1/c]	ARatio[s2/c]	ARatio[s3/c]	ARatio[s4/c]	HRatio[s1/c]	HRatio[s2/c]	HRatio[s3/c]	HRatio[s4/c]	APValue[s1]	APValue[s2]	APValue[s3]	APValue[s4]	MainGrade[c]	MainGrade[s1]	MainGrade[s2]	MainGrade[s3]	MainGrade[s4]	MainPQ[c]	MainPQ[s1]	MainPQ[s2]	MainPQ[s3]	MainPQ[s4]	IDNum[c]	IDNum[s1]	IDNum[s2]	IDNum[s3]	IDNum[s4]	MainMScore[c]	MainMScore[s1]	MainMScore[s2]	MainMScore[s3]	MainMScore[s4]	MainOccupy[c]	MainOccupy[s1]	MainOccupy[s2]	MainOccupy[s3]	MainOccupy[s4]	MainArea[c]	MainArea[s1]	MainArea[s2]	MainArea[s3]	MainArea[s4]	MainHeight[c]	MainHeight[s1]	MainHeight[s2]	MainHeight[s3]	MainHeight[s4]	AreaRSD[c]	AreaRSD[s1]	AreaRSD[s2]	AreaRSD[s3]	AreaRSD[s4]	HeightRSD[c]	HeightRSD[s1]	HeightRSD[s2]	HeightRSD[s3]	HeightRSD[s4]
Cer(d14:1_20:1)	Cer	d14:1_20:1	d34:2	1	2	0	535.4964	C34 H65 O3 N1	10.414	+H	224	1	0.366	0.776	0.236	0.692	0.357	0.768	0.245	0.666	0.147	0.654	0.089	0.417	B	B	B	B	B	0.818	0.865	0.72	0.915	0.65	4	1	1	1	2	34.807	26.801	37.799	23.156	25.766	87.017	89.337	94.498	77.186	85.887	3.648E07	1.336E07	2.832E07	8.624E06	2.524E07	3.171E06	1.132E06	2.435E06	7.773E05	2.111E06	45.157	61.916	94.116	43.61	13.512	42.158	60.355	94.548	43.738	10.961
Cer(d14:2_20:0)	Cer	d14:2_20:0	d34:2	1	2	0	535.4964	C34 H65 O3 N1	10.781	+H-H2O	225	1	0.808	0.58	0.381	0.677	0.809	0.6	0.377	0.73	0.671	0.251	0.117	0.41	B	-	-	-	-	0.612	0.885	0.685	0.56	0.865	1	0	0	0	0	27.51	0	0	0	0	91.699	0	0	0	0	1.461E07	1.180E07	8.478E06	5.567E06	9.894E06	1.111E06	8.995E05	6.669E05	4.194E05	8.116E05	40.554	83.052	29.148	37.529	59.892	36.26	84.608	34.527	34.904	62.445
Cer(d14:2_20:0+O)	Cer	d14:2_20:0+O	d34:2+O	1	2	0	551.4914	C34 H65 O4 N1	9.446	+H-H2O	226	1	0.575	0.797	0.287	0.973	0.571	0.724	0.289	0.918	0.284	0.646	0.073	0.948	-	-	-	-	B	0.752	0.71	0.62	0.79	0.8	0	0	0	0	1	0	0	0	0	31.451	0	0	0	0	78.627	3.540E07	2.035E07	2.821E07	1.016E07	3.444E07	3.714E06	2.121E06	2.690E06	1.073E06	3.409E06	39.11	72.03	82.689	19.733	61.482	42.148	75.5	84.023	13.287	64.684
Cer(d14:2_20:0+O)	Cer	d14:2_20:0+O	d34:2+O	1	2	0	551.4914	C34 H65 O4 N1	9.809	+H-H2O	227	1	0.055	0.887	0.292	1.129	0.267	0.99	0.334	1.026	0.03	0.833	0.071	0.777	-	-	B	-	-	0.858	0	0.885	0.665	0.7	0	0	1	0	0	0	0	14.897	0	0	0	0	74.486	0	0	5.381E06	2.940E05	4.771E06	1.573E06	6.073E06	5.705E05	1.525E05	5.650E05	1.906E05	5.854E05	38.061	123.874	108.349	41.858	64.525	31.571	104.675	78.889	39.875	53.505
Cer(d14:2_20:1)	Cer	d14:2_20:1	d34:3	1	2	0	533.4808	C34 H63 O3 N1	9.459	+H	219	1	0.575	0.794	0.295	0.97	0.569	0.727	0.291	0.92	0.289	0.643	0.078	0.943	B	B	B	B	B	0.748	0.705	0.605	0.815	0.795	4	2	2	1	2	37.211	37.059	37.327	36.593	36.938	93.026	92.647	93.317	91.482	92.344	3.552E07	2.041E07	2.819E07	1.048E07	3.445E07	3.701E06	2.107E06	2.691E06	1.076E06	3.406E06	39.742	72.273	82.635	25.275	61.542	42.05	75.553	84.08	12.914	64.937
Cer(d14:2_20:1)	Cer	d14:2_20:1	d34:3	1	2	0	533.4808	C34 H63 O3 N1	9.815	+H	220	1	0.487	0.98	0.325	1.183	0.572	0.994	0.333	1.023	0.164	0.969	0.069	0.689	B	-	B	-	-	0.835	0.655	0.84	0.36	0.63	1	0	1	0	0	27.591	0	28.083	0	0	91.969	0	93.61	0	0	5.110E06	2.489E06	5.009E06	1.659E06	6.046E06	5.701E05	3.263E05	5.665E05	1.900E05	5.831E05	35.768	65.239	95.767	36.789	64.399	31.591	42.684	79.437	39.603	54.606
Cer(d16:1_20:0)	Cer	d16:1_20:0	d36:1	1	3	0	565.5434	C36 H71 O3 N1	13.704	+H	306	1	0.617	0.279	0.392	0.362	0.659	0.304	0.387	0.361	0.385	0.093	0.141	0.125	B	B	B	B	B	0.875	0.905	0.885	0.885	0.835	4	2	2	2	2	38.322	38.761	39.07	38.49	38.359	95.804	96.902	97.674	96.224	95.897	7.487E07	4.619E07	2.091E07	2.936E07	2.712E07	5.720E06	3.771E06	1.740E06	2.217E06	2.066E06	43.796	80.679	6.529	29.644	16.096	43.451	77.873	5.535	27.605	18.276
Cer(d14:1_22:0)	Cer	d14:1_22:0	d36:1	1	3	0	565.5434	C36 H71 O3 N1	14.098	+H	307	1	0.347	0.239	0.191	0.271	0.347	0.233	0.185	0.258	0.179	0.119	0.103	0.13	B	B	B	B	B	0.883	0.855	0.915	0.845	0.875	4	2	2	2	2	36.939	34.432	35.897	34.292	36.261	92.347	86.079	89.744	85.73	90.653	1.797E08	6.228E07	4.287E07	3.430E07	4.867E07	1.587E07	5.507E06	3.706E06	2.934E06	4.095E06	51.041	80.044	41.032	43.23	23.935	52.68	77.648	39.944	46.114	25.625
Cer(d14:1_22:0)	Cer	d14:1_22:0	d36:1	1	3	0	565.5434	C36 H71 O3 N1	14.495	+H	308	1	0.381	0.231	0.207	0.305	0.376	0.258	0.208	0.293	0.201	0.116	0.11	0.145	B	-	-	-	B	0.835	0.7	0.815	0.765	0.855	1	0	0	0	1	30.88	0	0	0	23.104	77.199	0	0	0	77.015	2.618E07	9.975E06	6.054E06	5.412E06	7.977E06	2.248E06	8.450E05	5.809E05	4.686E05	6.575E05	51.094	80.128	20.516	59.318	28.992	50.834	77.703	45.065	65.64	26.153
Cer(d16:1_20:0+O)	Cer	d16:1_20:0+O	d36:1+O	1	2	0	581.5383	C36 H71 O4 N1	12.652	+H	309	1	1.311	0.502	0.654	0.974	1.387	0.581	0.678	1.044	0.634	0.117	0.35	0.94	-	B	-	-	-	0.835	0.85	0.77	0.875	0.92	0	1	0	0	0	0	8.906	0	0	0	0	44.529	0	0	0	6.601E06	8.656E06	3.317E06	4.317E06	6.433E06	5.777E05	8.015E05	3.354E05	3.919E05	6.033E05	29.322	99.39	54.547	85.659	54.03	31.493	99.591	59.743	72.238	54.668
