Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
DG(12:0e_10:4) +NH4,C25 H42 O4,2.354,406.3083,DG,12:0e_10:4,22:4e,0,,,
LPC(18:2),C26 H50 O7 N1 P1,2.382,519.3325,LPC,18:02,18:02,#NAME?,,,
LPE(16:1),C21 H42 O7 N1 P1,2.383,451.2699,LPE,16:01,16:01,#NAME?,,,
LPC(15:0),C23 H48 O7 N1 P1,2.392,481.3168,LPC,15:00,15:00,#NAME?,,,
LPE(18:2),C23 H44 O7 N1 P1,2.478,477.2855,LPE,18:02,18:02,#NAME?,,,
LPC(17:1),C25 H50 O7 N1 P1,2.58,507.3325,LPC,17:01,17:01,#NAME?,,,
LPE(18:2),C23 H44 O7 N1 P1,2.625,477.2855,LPE,18:02,18:02,#NAME?,,,
LPC(20:3),C28 H52 O7 N1 P1,2.634,545.3481,LPC,20:03,20:03,#NAME?,,,
LPS(18:1),C24 H46 O9 N1 P1,2.663,523.291,LPS,18:01,18:01,#NAME?,,,
LPE(17:1),C22 H44 O7 N1 P1,2.686,465.2855,LPE,17:01,17:01,#NAME?,,,
LPE(17:1),C22 H44 O7 N1 P1,2.807,465.2855,LPE,17:01,17:01,#NAME?,,,
PG(8:1e_10:2) +NH4,C24 H43 O9 N0 P1,2.818,506.2645,PG,8:1e_10:2,18:3e,#REF!,,,
PS(8:1e_10:0),C24 H46 O9 N1 P1,2.82,523.291,PS,8:1e_10:0,18:1e,#NAME?,,,
LPC(16:0),C24 H50 O7 N1 P1,2.864,495.3325,LPC,16:00,16:00,#NAME?,,,
LPC(18:3),C26 H48 O7 N1 P1,2.867,517.3168,LPC,18:03,18:03,#NAME?,,,
TG(9:0_10:3_10:4) +NH4,C32 H46 O6,2.964,526.3294,TG,9:0_10:3_10:4,29:07:00,#REF!,,,
LPC(17:0),C25 H52 O7 N1 P1,2.968,509.3481,LPC,17:00,17:00,#NAME?,,,
LPE(16:0),C21 H44 O7 N1 P1,2.99,453.2855,LPE,16:00,16:00,#NAME?,,,
PG(17:1_12:3) +NH4,C35 H61 O10 N0 P1,3.014,672.4002,PG,17:1_12:3,29:04:00,#REF!,,,
LPC(16:0e),C24 H52 O6 N1 P1,3.047,481.3532,LPC,16:0e,16:0e,#NAME?,,,
